School Year,School Number,School Name,Principal,Phone,Associate Superintendent,Cluster,Attendance Rate,Drop out rate,Mobility Rate (Entrants + Withdrawals),Grade 12 Documented Decision - College,Grade 12 Documented Decision - Employment,Grade 12 Documented Decision - Military,Grade 12 Documented Decision - College - Employment,Graduation Rate,Students Meeting University System of Maryland Requirements,Location 1
2014,110,S. Christa McAuliffe ES,Mrs. Wanda P. Coates,(301) 353-0910,Dr. LaVerne G. Kimball,Seneca Valley,95,,15.1,,,,,,,"12500 Wisteria Drive
Germantown, MD 20874
(39.16573850800006, -77.25919377699995)"
2014,311,Francis Scott Key MS,Ms. Yolanda Stanislaus,(301) 422-5600,Dr. Darryl L. Williams,Northeast Consortium,95,,16.1,,,,,,,"910 Schindler Dr Silver Spring
MD 20903
(39.02773270200004, -76.99076285399997)"
2014,107,"Dr. Martin Luther King, Jr.  MS",Ms. Dana E. Davison,(301) 353-8080,Dr. Darryl L. Williams,Seneca Valley,95,,13,,,,,,,"13737 Wisteria Drive
Germantown, MD 20874
(39.179717123000046, -77.28551312299999)"
2014,606,Cabin John MS,Dr. Paulette L. Smith,(301) 469-1150,Dr. Darryl L. Williams,"Churchill, Wootton",95,,5,,,,,,,"10701 Gainsborough Road
Potomac, MD 20854
(39.03062590800005, -77.17275466099994)"
2014,789,Albert Einstein HS,Mr. James G. Fernandez,(301) 929-2200,Dr. Christopher S. Garran,Downcounty Consortium,93.7,12.1,12.8,89.7,5,5,65,79.5,61.8,"11135 Newport Mill Road
Kensington, MD 20895
(39.03948563100005, -77.07014333899997)"
2014,334,Greencastle ES,"Mr. R. Kevin Payne, Jr.",(301) 595-2940,Dr. Myra J. Smith,Northeast Consortium,95,,25,,,,,,,"13611 Robey Road Silver Spring
MD 20904
(39.08121586300007, -76.94190610499999)"
2014,100,Clopper Mill ES,Dr. Ocheze Joseph,(301) 353-8065,Dr. LaVerne G. Kimball,Northwest,95,,23.8,,,,,,,"18501 Cinnamon Drive
Germantown, MD 20874
(39.15774160500007, -77.26336742799998)"
2014,111,Capt. James E. Daly ES,Mrs. Nora G. Dietz,(301) 353-0939,Dr. LaVerne G. Kimball,Clarksburg,95,,16.5,,,,,,,"20301 Brandermill Drive
Germantown, MD 20876
(39.190431568000065, -77.23384919199998)"
2014,558,Whetstone ES,Mrs. Victoria (Vicky) A. Casey,(301) 840-7191,Dr. LaVerne G. Kimball,Watkins Mill,94.6,,15,,,,,,,"19201 Thomas Farm Road
Gaithersburg, MD 20879
(39.16687650100005, -77.18454855899995)"
2014,791,New Hampshire Estates ES,Ms. Marinda Thomas Evans,(301) 431-7607,Ms. Bronda L. Mills,Downcounty Consortium,95,,20.6,,,,,,,"8720 Carroll Avenue Silver Spring
MD 20903
(38.99786325300005, -76.99167200399995)"
2014,812,Parkland MS,Dr. Benjamin T. OuYang,(301) 438-5700,Dr. Darryl L. Williams,Downcounty Consortium,95,,5.1,,,,,,,"4610 West Frankfort Drive
Rockville, MD 20853
(39.08516742100005, -77.09097962599998)"
2014,764,Woodlin ES,Mrs. Shoua F. Moua,(301) 650-6440,Ms. Bronda L. Mills,Downcounty Consortium,95,,13.5,,,,,,,"2101 Luzerne Avenue Silver Spring
MD 20910
(39.006018819000076, -77.04673181399994)"
2014,823,Argyle MS,Mr. Robert W. Dodd,(301) 460-2400,Dr. Darryl L. Williams,Downcounty Consortium,95,,13.3,,,,,,,"2400 Bel Pre Road Silver Spring
MD 20906
(39.09043011000006, -77.04984846399998)"
2014,783,Kensington Parkwood ES,Ms. Barbara A. Liess,(301) 571-6949,Dr. Donna S. Hollingshead,Walter Johnson,95,,7.7,,,,,,,"4710 Saul Road
Kensington, MD 20895
(39.021695296000075, -77.09432836399998)"
2014,769,Oakland Terrace ES,Mrs. Cheryl D. Pulliam,(301) 929-2161,Ms. Bronda L. Mills,Downcounty Consortium,95,,9.2,,,,,,,"2720 Plyers Mill Road Silver Spring
MD 20902
(39.02970286300007, -77.05642309799998)"
2014,549,Flower Hill ES,Mr. Lamar Whitmore,(301) 840-7161,Dr. Myra J. Smith,Col. Zadok Magruder,94.6,,14.2,,,,,,,"18425 Flower Hill Way
Gaithersburg, MD 20879
(39.15880706300004, -77.17204558999998)"
2014,749,Piney Branch ES,Mrs. Rachel C. DuBois,(301) 891-8000,Ms. Bronda L. Mills,Downcounty Consortium,95,,7.3,,,,,,,"7510 Maple Avenue Takoma Park
MD 20912
(38.98148775400006, -77.00957990199998)"
2014,157,Roberto W. Clemente MS,Mrs. Khadija F. Barkley,(301) 601-0344,Dr. Darryl L. Williams,"Northwest, S. Valley",95,,11.6,,,,,,,"18808 Waring Station Road
Germantown, MD 20874
(39.16520107500003, -77.24691510099996)"
2014,706,Clearspring ES,Mrs. Holly A. Steel,(301) 253-7004,Dr. LaVerne G. Kimball,Damascus,95,,8.1,,,,,,,"9930 Moyer Road
Damascus, MD 20872
(39.26665488000003, -77.20737915999996)"
2014,211,Julius West MS,Mr. Craig W. Staton,(301) 279-3979,Dr. Darryl L. Williams,Richard Montgomery,95,,10,,,,,,,"651 Great Falls Road
Rockville, MD 20850
(39.07757596300007, -77.16235162099997)"
2014,340,Great Seneca Creek ES,Mr. Scott T. Curry,(301) 353-8500,Dr. LaVerne G. Kimball,Northwest,95,,12.8,,,,,,,"13010 Dairymaid Drive
Germantown, MD 20874
(39.15283001300003, -77.26874194099997)"
2014,778,Sligo MS,Mr. Eric  Wilson,(301) 649-8121,Dr. Darryl L. Williams,Downcounty Consortium,94.6,,26,,,,,,,"1401 Dennis Avenue Silver Spring
MD 20902
(39.02576917600004, -77.03214467699996)"
2014,819,Rock Creek Valley ES,Ms. Catherine A. Jasperse,(301) 460-2195,Dr. Donna S. Hollingshead,Rockville,95,,6.6,,,,,,,"5121 Russett Road
Rockville, MD 20853
(39.08243267200004, -77.10282917399996)"
2014,403,Chevy Chase ES,Mrs. Jody L. Smith,(301) 657-4994,Dr. Donna S. Hollingshead,Bethesda-Chevy Chase,95,,5,,,,,,,"4015 Rosemary Street
Chevy Chase, MD 20815
(38.97787807700007, -77.08010041499995)"
2014,424,Walter Johnson HS,Mrs. Jennifer A. Baker,(301) 803-7100,Dr. Christopher S. Garran,Walter Johnson,95,5,7,94.3,5,5,51.2,95,82.6,"6400 Rock Spring Drive
Bethesda, MD 20814
(39.02687136800006, -77.12644415299997)"
2014,511,Cashell ES,Ms. Maureen Ahern,(301) 924-3130,Dr. Myra J. Smith,Col. Zadok Magruder,95,,7.7,,,,,,,"17101 Cashell Road
Rockville, MD 20853
(39.13685839900006, -77.08662348299998)"
2014,773,Rock Creek Forest ES,Ms. Jennifer H. Lowndes,(301) 650-6410,Dr. Donna S. Hollingshead,Bethesda-Chevy Chase,95,,6.9,,,,,,,"7000 Radnor Road
Bethesda, MD 20817
(38.97924530600005, -77.11408330599994)"
2014,784,Highland View ES,Miss Anne M. Dardarian,(301) 650-6426,Ms. Bronda L. Mills,Downcounty Consortium,95,,11.9,,,,,,,"9010 Providence Avenue Silver Spring
MD 20901
(39.00455340100007, -77.01018802099998)"
2014,647,Silver Spring International MS,Mr. John W. Haas,(301) 650-6544,Dr. Darryl L. Williams,Downcounty Consortium,95,,10.6,,,,,,,"313 Wayne Avenue Silver Spring
MD 20910
(38.99981752300005, -77.01413458599995)"
2014,410,Bradley Hills ES,Ms. Sandra S. Reece,(301) 571-6966,Dr. Donna S. Hollingshead,Walt Whitman,95,,7.4,,,,,,,"8701 Hartsdale Avenue
Bethesda, MD 20817
(38.99864219500006, -77.11780883799997)"
2014,412,Westland MS,Ms. Alison L. Serino,(301) 320-6515,Dr. Darryl L. Williams,Bethesda-Chevy Chase,95,,5.8,,,,,,,"5511 Massachusetts Avenue
Bethesda, MD 20816
(38.958430271000054, -77.11007173399997)"
2014,604,Carderock Springs ES,Mr. Rock A. Palmisano,(301) 469-1034,Dr. Donna S. Hollingshead,Walt Whitman,95,,5,,,,,,,"7401 Persimmon Tree Lane
Bethesda, MD 20817
(38.98238959300005, -77.17295948599997)"
2014,219,Farmland ES,Mrs. Mary E. Bliss,(301) 230-5919,Dr. Donna S. Hollingshead,Walter Johnson,95,,18.9,,,,,,,"7000 Old Gate Road
Rockville, MD 20852
(39.04766372100005, -77.14462934899996)"
2014,601,Potomac ES,Mrs. Linda Z. Goldberg,(301) 469-1042,Dr. Donna S. Hollingshead,Winston Churchill,95,,8.6,,,,,,,"10311 River Road
Potomac, MD 20854
(39.02057849500005, -77.21264276099998)"
2014,754,Takoma Park ES,Mrs. Zadia T. Gadsden,(301) 650-6414,Ms. Bronda L. Mills,Downcounty Consortium,95,,10.8,,,,,,,"7511 Holly Avenue Takoma Park
MD 20912
(38.98278333900004, -77.01313510899996)"
2014,158,Ronald McNair ES,Mrs. Eileen K. Macfarlane,(301) 353-0854,Dr. LaVerne G. Kimball,Northwest,95,,6.6,,,,,,,"13881 Hopkins Road
Germantown, MD 20874
(39.16782837100004, -77.29149971099997)"
2014,313,Galway ES,"Mrs. Dorothea A. Fuller, Acting",(301) 595-2930,Dr. Myra J. Smith,Northeast Consortium,95,,16.8,,,,,,,"12612 Galway Drive Silver Spring
MD 20904
(39.064644059000045, -76.94482330199997)"
2014,336,Little Bennett ES,Mr. Shawn D. Miller,(301) 540-5535,Dr. LaVerne G. Kimball,Clarksburg,95,,8.4,,,,,,,"23930 Burdette Forest Road
Clarksburg, MD 20871
(39.24586265500005, -77.27500437999998)"
2014,822,Strathmore ES,Mrs. Cheryl L. Smith,(301) 460-2135,Ms. Bronda L. Mills,Downcounty Consortium,95,,14.4,,,,,,,"3200 Beaverwood Lane Silver Spring
MD 20906
(39.08673414000003, -77.06517836599994)"
2014,761,Pine Crest ES,Mrs. Cynthia A. Houston,(301) 649-8066,Ms. Bronda L. Mills,Downcounty Consortium,95,,12.6,,,,,,,"201 Woodmoor Drive Silver Spring
MD 20901
(39.02075333100004, -77.00522168599997)"
2014,799,Stephen Knolls School,"Ms. Kim Redgrave, Acting",(301) 929-2151,Ms. Bronda L. Mills,Downcounty Consortium,84.3,,15.2,,,,,,,"10731 St Margaret's Way
Kensington, MD 20895
(39.02866622100004, -77.07759624899995)"
2014,564,South Lake ES,Ms. Celeste D. King,(301) 840-7141,Dr. LaVerne G. Kimball,Watkins Mill,94.8,,25,,,,,,,"18201 Contour Road
Gaithersburg, MD 20877
(39.15485243200004, -77.19711924299997)"
2014,708,Kingsview MS,Mr. James N. D'Andrea,(301) 601-4611,Dr. Darryl L. Williams,Northwest,95,,6.1,,,,,,,"18909 Kingsview Road
Germantown, MD 20874
(39.16503849900005, -77.28698651699995)"
2014,771,Rolling Terrace ES,Mrs. Jennifer L. Connors,(301) 431-7600,Ms. Bronda L. Mills,Downcounty Consortium,95,,12.4,,,,,,,"705 Bayfield Street Takoma Park
MD 20912
(38.995755917000054, -76.99708729499997)"
2014,415,North Chevy Chase ES,Ms. Renee D. Wallace-Stevens,(301) 657-4950,Dr. Donna S. Hollingshead,Bethesda-Chevy Chase,95,,5.8,,,,,,,"3700 Jones Bridge Road
Chevy Chase, MD 20815
(38.99937274200005, -77.07349438399996)"
2014,241,DuFief ES,Mr. Brent Mascott,(301) 279-4980,Dr. Donna S. Hollingshead,Thomas S. Wootton,95,,6.1,,,,,,,"15001 DuFief Drive
Gaithersburg, MD 20878
(39.10150615300006, -77.23846014599997)"
2014,774,Highland ES,Mr. Scott R. Steffan,(301) 929-2040,Ms. Bronda L. Mills,Downcounty Consortium,94.8,,14.8,,,,,,,"3100 Medway Street Silver Spring
MD 20902
(39.050621628000044, -77.06279429499995)"
2014,215,Carl Sandburg Learning Center,Ms. Marlene (Marlene) Kenny,(301) 279-8490,Dr. Myra J. Smith,Sherwood,93.5,,20,,,,,,,"451 Meadow Hall Drive
Rockville, MD 20851
(39.07584275700003, -77.11048056799996)"
2014,653,Stone Mill ES,Ms. Kimberly A. Williams,(301) 279-4975,Dr. Donna S. Hollingshead,Thomas S. Wootton,95,,7.8,,,,,,,"14323 Stonebridge View Drive North
Potomac, MD 20878
(39.09056696500005, -77.21564940799993)"
2014,756,East Silver Spring ES,Dr. Adrienne L. Morrow,(301) 650-6420,Ms. Bronda L. Mills,Downcounty Consortium,95,,16,,,,,,,"631 Silver Spring Avenue Silver Spring
MD 20910
(38.991978550000056, -77.01521081699997)"
2014,216,Travilah ES,Mrs. Susan Shenk,(301) 840-7153,Dr. Donna S. Hollingshead,Thomas S. Wootton,95,,5.1,,,,,,,"13801 DuFief Mill Road North
Potomac, MD 20878
(39.08206739900004, -77.24951580099997)"
2014,405,Somerset ES,Ms. Kelly Morris,(301) 657-4985,Dr. Donna S. Hollingshead,Bethesda-Chevy Chase,95,,11.2,,,,,,,"5811 Warwick Place
Chevy Chase, MD 20815
(38.968784269000025, -77.09293568199996)"
2014,333,Benjamin Banneker MS,Ms. Ruschelle Reuben,(301) 989-5747,Dr. Darryl L. Williams,Northeast Consortium,95,,13.2,,,,,,,"14800 Perrywood Drive
Burtonsville, MD 20866
(39.09645228800008, -76.94712224799997)"
2014,568,Stedwick ES,Dr. Margaret Pastor,(301) 840-7187,Dr. LaVerne G. Kimball,Watkins Mill,95,,22.6,,,,,,,"10631 Stedwick Road
Gaithersburg, MD 20886
(39.174621315000024, -77.21200304699994)"
2014,242,Dr. Sally K. Ride ES,Mr. Christopher A. Wynne,(301) 353-0994,Dr. LaVerne G. Kimball,Seneca Valley,95,,11.8,,,,,,,"21301 Seneca Crossing Drive
Germantown, MD 20876
(39.20638937000007, -77.23847982399997)"
2014,556,Mill Creek Towne ES,Mr. Kenneth L. Marcus,(301) 840-7149,Dr. Myra J. Smith,Col. Zadok Magruder,95,,9.5,,,,,,,"17700 Park Mill Drive
Rockville, MD 20855
(39.14599829900004, -77.15224132299994)"
2014,316,Stonegate ES,Miss Audra M. Fladung,(301) 989-5668,Dr. Myra J. Smith,Northeast Consortium,95,,9.6,,,,,,,"14811 Notley Road Silver Spring
MD 20905
(39.098977423000065, -77.01665552699995)"
2014,555,Rosemont ES,Mr. James (Jimmy) A. Sweeney,(301) 840-7123,Dr. Myra J. Smith,Gaithersburg,95,,18.4,,,,,,,"16400 Alden Avenue
Gaithersburg, MD 20877
(39.12516225400003, -77.18431888099997)"
2014,406,Bethesda-Chevy Chase HS,Mrs. Karen L. Lockard,(240) 497-6300,Dr. Christopher S. Garran,Bethesda-Chevy Chase,95,5,7,94.8,5,5,41.4,94.4,87.7,"4301 East West Highway
Bethesda, MD 20814
(38.98567650500007, -77.08785638299997)"
2014,360,Jones Lane ES,Mrs. Carole A. Sample,(301) 840-8160,Dr. LaVerne G. Kimball,Quince Orchard,95,,8.3,,,,,,,"15110 Jones Lane
Gaithersburg, MD 20878
(39.103240019000054, -77.26472602099994)"
2014,562,Redland MS,"Mr. Robert Sinclair, Jr.",(301) 840-4680,Dr. Darryl L. Williams,Col. Zadok Magruder,95,,12.3,,,,,,,"6505 Muncaster Mill Road
Rockville, MD 20855
(39.139396876000035, -77.13221927399997)"
2014,246,Northwest HS,Ms. E. Lancellotti (Lance) Dempsey,(301) 601-4660,Dr. Christopher S. Garran,Northwest,94.9,5.9,10,95,5,5,56.9,91.1,88.2,"13501 Richter Farm Road
Germantown, MD 20874
(39.149537913000074, -77.28004258599998)"
2014,156,Lois P. Rockwell ES,Mrs. Cheryl A. Clark,(301) 253-7088,Dr. LaVerne G. Kimball,Damascus,95,,11.1,,,,,,,"24555 Cutsail Drive
Damascus, MD 20872
(39.25630623700005, -77.21510520899994)"
2014,210,Maryvale ES,Ms. Karen Gregory,(301) 279-4990,Dr. Donna S. Hollingshead,Rockville,95,,14.6,,,,,,,"1000 First Street
Rockville, MD 20850
(39.09022374500006, -77.13616603199995)"
2014,228,Herbert Hoover MS,Mrs. Yong-Mi Kim,(301) 469-1010,Dr. Darryl L. Williams,Winston Churchill,95,,5,,,,,,,"8810 Postoak Road
Potomac, MD 20854
(39.04681297900004, -77.17854045399997)"
2014,770,Flora M. Singer ES,Mr. Kyle J. Heatwole,(301) 649-8000,Ms. Bronda L. Mills,Downcounty Consortium,95,,12.7,,,,,,,"2600 Hayden Drive Silver Spring
MD 20902
(39.01999733100007, -77.05359691599995)"
2014,212,Meadow Hall ES,Mr. Cabell W. Lloyd,(301) 279-4988,Dr. Donna S. Hollingshead,Rockville,94.3,,18.6,,,,,,,"951 Twinbrook Parkway
Rockville, MD 20851
(39.083484706000036, -77.11606313099998)"
2014,701,Damascus HS,Mrs. Jennifer L. Webster,(301) 253-7030,Dr. Christopher S. Garran,Damascus,95,5,6.1,95,5,5,63.5,92.3,82.7,"25921 Ridge Road
Damascus, MD 20872
(39.281807386000025, -77.21143519199995)"
2014,775,Eastern MS,Ms. Casey B. Crouse,(301) 650-6650,Dr. Darryl L. Williams,Downcounty Consortium,95,,10.4,,,,,,,"300 University Boulevard
East Silver Spring, MD 20901
(39.023032743000044, -77.01690719999993)"
2014,767,Glen Haven ES,Dr. Joanne Smith,(301) 649-8051,Ms. Bronda L. Mills,Downcounty Consortium,95,,29.1,,,,,,,"10900 Inwood Avenue Silver Spring
MD 20902
(39.03368726300005, -77.03604639999998)"
2014,565,Sequoyah ES,Dr. Barbara (Bobbi) A. Jasper,(301) 840-5335,Dr. Myra J. Smith,Col. Zadok Magruder,95,,16.2,,,,,,,"17301 Bowie Mill Road
Derwood, MD 20855
(39.13923315300008, -77.11947349499997)"
2014,104,Seneca Valley HS,Mr. Marc J. Cohen,(301) 353-8000,Dr. Christopher S. Garran,Seneca Valley,93.2,7.6,17.3,93.1,5,5,71.4,81.5,65.2,"19401 Crystal Rock Drive
Germantown, MD 20874
(39.17542872800004, -77.26568922899997)"
2014,204,Garrett Park ES,Ms. Elaine L. Chang-Baxter,(301) 929-2170,Dr. Donna S. Hollingshead,Walter Johnson,95,,14.9,,,,,,,"4810 Oxford Street
Kensington, MD 20895
(39.02866622100004, -77.07759624899995)"
2014,337,"William B. Gibbs, Jr. ES",Mrs. Kimberly B. Bosnic,(301) 353-0800,Dr. LaVerne G. Kimball,Clarksburg,95,,10.9,,,,,,,"12615 Royal Crown Drive
Germantown, MD 20876
(39.20511369400003, -77.25920777899995)"
2014,115,Neelsville MS,Ms. Lily (Vicky) Lake-Parcan,(301) 353-8064,Dr. Darryl L. Williams,"Clarksburg, Watkins Mill",94.7,,19.1,,,,,,,"11700 Neelsville Church Road
Germantown, MD 20876
(39.19538524500007, -77.24241104099997)"
2014,419,Burning Tree ES,Dr. Judith F. Lewis,(301) 320-6510,Dr. Donna S. Hollingshead,Walt Whitman,95,,5.3,,,,,,,"7900 Beech Tree Road
Bethesda, MD 20817
(38.98965670200005, -77.14200905999996)"
2014,790,Arcola ES,Mr. Emmanuel J. Jean-Philippe,(301) 649-8590,Ms. Bronda L. Mills,Downcounty Consortium,93.9,,18.1,,,,,,,"1820 Franwall Avenue Silver Spring
MD 20902
(39.04599291200003, -77.03957005499996)"
2014,803,Forest Knolls ES,Mr. Donald D. Masline,(301) 649-8060,Ms. Bronda L. Mills,Downcounty Consortium,95,,10.4,,,,,,,"10830 Eastwood Avenue Silver Spring
MD 20901
(39.03391815100008, -77.02091115499996)"
2014,545,Watkins Mill HS,Mr. Scott W. Murphy,(301) 840-3959,Dr. Christopher S. Garran,Watkins Mill,92.8,5.1,14.1,84.8,5,5,65.5,85.3,62.8,"10301 Apple Ridge Road
Gaithersburg, MD 20879
(39.16687650100005, -77.18454855899995)"
2014,798,Springbrook HS,Mr. Samuel A. Rivera,(301) 989-5700,Dr. Christopher S. Garran,Northeast Consortium,94.2,11.1,12.3,92.8,5,5,68.7,81.5,71.9,"201 Valley Brook Drive Silver Spring
MD 20904
(39.05836433500008, -77.00457113499994)"
2014,518,Brooke Grove ES,Mrs. Gail M. West,(301) 924-3154,Dr. Myra J. Smith,Sherwood,95,,7.1,,,,,,,"2700 Spartan Road
Olney, MD 20832
(39.15762287500007, -77.05095016699994)"
2014,229,College Gardens ES,Mrs. Stacey F. Rogovoy,(301) 279-8470,Dr. Donna S. Hollingshead,Richard Montgomery,95,,10.4,,,,,,,"1700 Yale Place
Rockville, MD 20850
(39.102718594000066, -77.16200230199996)"
2014,422,Wyngate ES,Ms. Barbara J. Leister,(301) 571-6979,Dr. Donna S. Hollingshead,Walter Johnson,95,,5.9,,,,,,,"9300 Wadsworth Drive
Bethesda, MD 20817
(39.00853432200006, -77.12754537999996)"
2014,557,Montgomery Village MS,Dr. Edgar E. Malker,(301) 840-4660,Dr. Darryl L. Williams,Watkins Mill,94.3,,19.2,,,,,,,"19300 Watkins Mill Road Montgomery Village
MD 20886
(39.171479859000044, -77.20868354299995)"
2014,152,Poolesville HS,Miss. Deena Levine,(301) 972-7900,Dr. Christopher S. Garran,Poolesville,95,5,5,93.3,5,5,38.2,95,90.4,"17501 Willard Road
Poolesville, MD 20837
(39.14350130400004, -77.41990486599997)"
2014,707,Rocky Hill MS,"Dr. Cynthia Eldridge, Acting",(301) 353-8282,Dr. Darryl L. Williams,"Clarksburg, Damascus",95,,7.6,,,,,,,"22401 Brick Haven Way
Clarksburg, MD 20871
(39.22092537200007, -77.26322671299994)"
2014,155,Rosa M. Parks MS,Dr. Donna R. Jones,(301) 924-3180,Dr. Darryl L. Williams,Sherwood,95,,5,,,,,,,"19200 Olney Mill Road
Olney, MD 20832
(39.17097295200006, -77.08089909599994)"
2014,766,Oak View ES,Ms. Peggy E. Salazar,(301) 650-6434,Ms. Bronda L. Mills,Downcounty Consortium,95,,12.4,,,,,,,"400 East Wayne Avenue Silver Spring
MD 20901
(39.003727215000026, -77.00217966199995)"
